C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_51_900.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_51_900.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_51_900.jpg,0,0,0,3.905072E-06
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_51_969.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_51_969.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_51_969.jpg,0,0,0,1.140438E-06
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_036.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_036.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_036.jpg,0,0,0,1.011133E-05
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_105.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_105.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_105.jpg,0,0,0,2.539849E-07
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_173.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_173.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_173.jpg,0,0,0,7.131635E-06
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_240.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_240.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_240.jpg,0,0,0,4.894184E-06
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_310.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_310.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_310.jpg,0,0,0,4.441433E-07
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_378.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_378.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_378.jpg,0,0,0,2.896067E-06
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_447.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_447.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_447.jpg,0,0,0,5.891666E-07
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_515.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_515.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_515.jpg,0,0,0,1.371589E-06
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_585.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_585.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_585.jpg,0,0,0,1.340555E-06
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_653.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_653.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_653.jpg,0,0,0,2.428918E-06
C:\Users\Mohamadhassan\Desktop\rDataset\IMG\center_2023_04_25_21_19_52_719.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\left_2023_04_25_21_19_52_719.jpg,C:\Users\Mohamadhassan\Desktop\rDataset\IMG\right_2023_04_25_21_19_52_719.jpg,0,0,0,1.640714E-06
